sku_id,current_stock,avg_daily_sales,sales_volatility,supplier_lead_time_days,safety_stock_level,reorder_point,seasonality_index,historical_stockout_count,will_stockout_next_30_days
SKU-00000,509,10.46,1.69,3,96,112,1.33,2,0
SKU-00001,430,14.18,6.4,25,72,249,0.71,1,0
SKU-00002,491,9.19,1.53,20,59,151,1.28,1,0
SKU-00003,665,8.23,0.93,19,76,154,1.36,1,0
SKU-00004,297,15.4,5.3,4,118,149,1.38,1,1
SKU-00005,151,8.77,3.39,10,65,109,0.98,1,1
SKU-00006,568,11.73,7.03,10,89,148,0.93,5,0
SKU-00007,485,10.95,4.99,18,103,202,1.33,0,0
SKU-00008,702,15.39,8.07,24,102,287,1.08,0,0
SKU-00009,247,7.2,1.97,26,31,125,1.12,0,1
SKU-00010,71,18.98,6.73,16,120,272,0.74,4,1
SKU-00011,383,5.86,3.44,12,47,82,0.95,1,0
SKU-00012,220,12.26,3.78,13,79,159,0.87,2,1
SKU-00013,524,11.29,5.69,22,59,183,1.17,0,0
SKU-00014,179,5.44,1.97,10,42,69,0.7,4,0
SKU-00015,627,12.98,2.75,13,80,164,0.91,5,0
SKU-00016,165,7.62,2.97,24,74,165,1.35,2,1
SKU-00017,114,4.06,0.85,17,22,57,1.05,2,1
SKU-00018,118,14.11,1.43,15,113,219,1.4,1,1
SKU-00019,135,2.83,0.62,22,19,50,0.73,0,0
SKU-00020,153,4.73,0.93,10,17,41,0.94,1,0
SKU-00021,445,9.11,2.6,3,57,71,1.0,2,0
SKU-00022,314,15.32,8.34,24,49,233,0.9,0,1
SKU-00023,175,13.53,3.98,14,115,210,1.18,3,1
SKU-00024,753,10.34,5.4,11,84,141,0.65,0,0
SKU-00025,27,2.02,0.76,4,7,11,1.02,1,1
SKU-00026,223,5.65,0.59,27,37,113,0.64,1,0
SKU-00027,186,6.68,1.3,22,65,138,1.13,1,1
SKU-00028,151,3.9,2.21,9,19,37,1.33,2,0
SKU-00029,56,1.51,0.61,19,14,28,0.52,2,0
SKU-00030,149,9.43,5.33,15,38,109,0.96,0,1
SKU-00031,23,13.82,3.52,11,42,118,0.99,2,1
SKU-00032,232,6.28,2.88,10,42,73,1.22,0,0
SKU-00033,189,15.19,7.38,4,71,101,0.57,0,0
SKU-00034,200,2.51,1.48,29,23,59,0.91,1,0
SKU-00035,215,3.7,0.4,27,29,79,1.29,1,0
SKU-00036,636,9.29,5.35,26,73,194,1.03,2,0
SKU-00037,175,5.87,1.74,10,45,74,1.25,1,1
SKU-00038,625,13.06,6.78,29,101,290,0.86,1,0
SKU-00039,421,11.64,4.33,9,96,148,1.42,2,0
SKU-00040,403,6.2,2.37,25,48,126,0.58,2,0
SKU-00041,81,2.75,0.77,4,24,30,0.59,2,0
SKU-00042,132,5.66,2.91,10,39,67,1.03,0,1
SKU-00043,238,11.84,2.75,18,65,172,0.97,1,1
SKU-00044,402,13.41,4.64,29,84,278,1.14,3,1
SKU-00045,298,5.89,2.24,9,36,63,0.73,1,0
SKU-00046,20,1.5,0.71,14,8,18,0.73,1,1
SKU-00047,91,2.38,0.8,25,14,44,1.25,1,0
SKU-00048,202,11.19,4.93,15,64,148,0.79,3,1
SKU-00049,29,6.12,2.1,21,23,87,1.23,0,1
SKU-00050,482,6.24,2.68,13,55,96,1.14,0,0
SKU-00051,223,3.64,1.59,2,30,34,0.58,1,0
SKU-00052,172,3.58,1.63,9,19,35,1.21,1,0
SKU-00053,566,15.02,7.68,17,144,272,1.38,0,1
SKU-00054,777,11.46,4.24,2,111,122,1.32,0,0
SKU-00055,284,5.06,0.99,8,46,66,0.51,1,0
SKU-00056,167,8.81,3.87,28,28,151,1.04,0,1
SKU-00057,48,9.93,1.38,2,56,66,1.41,1,1
SKU-00058,163,23.54,4.93,8,146,240,1.1,2,1
SKU-00059,60,3.32,1.65,19,27,59,0.79,0,1
SKU-00060,509,9.84,3.12,17,73,157,0.69,0,0
SKU-00061,852,14.97,5.22,7,116,168,1.18,0,0
SKU-00062,1098,21.8,12.94,3,182,215,1.27,2,0
SKU-00063,102,4.85,1.06,27,47,112,1.41,1,1
SKU-00064,306,6.06,0.67,17,42,94,1.41,1,0
SKU-00065,182,13.14,2.05,18,123,241,0.84,2,1
SKU-00066,146,1.99,0.44,3,17,20,1.1,1,0
SKU-00067,215,10.53,4.87,7,56,93,0.6,0,0
SKU-00068,1690,29.01,14.15,4,252,310,0.59,0,0
SKU-00069,85,11.3,4.33,29,43,207,0.57,0,1
SKU-00070,13,0.76,0.17,23,3,12,1.43,0,1
SKU-00071,198,4.11,1.48,17,41,76,0.65,1,0
SKU-00072,146,4.97,0.53,21,30,82,0.98,1,1
SKU-00073,145,17.28,7.62,6,108,160,0.93,0,1
SKU-00074,372,7.35,2.99,29,71,178,0.82,0,0
SKU-00075,10,1.52,0.17,16,8,20,1.04,0,1
SKU-00076,317,7.99,4.06,16,37,101,0.5,1,0
SKU-00077,139,9.2,4.43,28,33,162,0.88,0,1
SKU-00078,161,5.51,1.4,4,37,48,0.98,2,0
SKU-00079,92,3.53,1.47,13,16,39,1.3,2,1
SKU-00080,772,31.01,12.43,4,107,169,1.2,3,1
SKU-00081,143,15.0,2.57,13,130,228,1.35,2,1
SKU-00082,550,15.91,3.13,9,84,156,0.88,3,0
SKU-00083,437,7.36,3.25,14,52,104,0.64,3,0
SKU-00084,80,4.78,2.71,21,18,68,0.9,0,1
SKU-00085,23,5.73,2.22,9,37,63,1.46,3,1
SKU-00086,52,2.51,0.96,3,19,23,0.71,0,0
SKU-00087,1224,23.25,9.84,6,143,213,0.67,0,0
SKU-00088,63,7.59,2.43,22,41,124,1.44,0,1
SKU-00089,64,19.93,2.53,18,103,282,1.45,3,1
SKU-00090,194,5.95,1.77,29,22,108,0.65,3,0
SKU-00091,353,11.42,6.28,27,44,198,1.27,1,1
SKU-00092,278,9.57,4.81,6,62,91,0.93,0,0
SKU-00093,5,2.25,1.27,22,9,34,0.99,2,1
SKU-00094,634,25.15,4.44,4,115,165,1.0,3,0
SKU-00095,194,6.1,2.15,4,25,37,1.47,0,0
SKU-00096,79,3.04,1.19,24,26,62,0.68,2,0
SKU-00097,161,13.21,2.71,13,81,167,1.27,0,1
SKU-00098,475,8.3,1.66,29,57,177,0.51,0,0
SKU-00099,541,10.71,5.26,2,76,87,1.13,0,0
SKU-00100,228,8.93,3.89,16,52,123,1.15,2,1
SKU-00101,41,0.87,0.37,10,4,8,1.25,2,0
SKU-00102,136,3.99,0.93,29,23,81,1.43,0,1
SKU-00103,230,3.85,1.36,20,26,64,1.25,2,0
SKU-00104,121,15.75,1.76,23,87,268,1.23,0,1
SKU-00105,147,8.53,1.41,10,34,77,0.75,1,1
SKU-00106,709,11.9,4.27,27,112,273,1.49,2,0
SKU-00107,210,6.39,1.63,25,52,132,0.97,2,0
SKU-00108,153,12.31,7.17,23,43,185,0.92,0,1
SKU-00109,449,7.38,2.48,15,69,124,1.0,2,0
SKU-00110,169,6.97,0.99,27,29,123,0.89,2,1
SKU-00111,104,9.53,1.04,20,35,130,1.09,0,1
SKU-00112,167,8.93,4.13,3,38,51,0.85,0,0
SKU-00113,2330,37.43,6.95,26,357,844,0.74,2,0
SKU-00114,111,3.95,0.77,2,18,22,1.43,0,0
SKU-00115,78,2.01,0.63,21,17,38,1.43,2,0
SKU-00116,217,10.54,2.45,8,79,121,1.0,1,1
SKU-00117,46,4.46,1.82,27,30,90,1.46,0,1
SKU-00118,38,0.74,0.25,22,4,12,0.92,0,0
SKU-00119,97,3.18,0.5,24,12,50,0.89,2,0
SKU-00120,1480,32.3,15.9,21,258,597,1.42,5,0
SKU-00121,123,3.86,1.21,17,22,55,1.13,0,1
SKU-00122,17,1.36,0.55,26,9,27,1.26,1,1
SKU-00123,451,31.02,3.16,10,104,259,0.91,1,1
SKU-00124,125,3.07,1.27,16,26,51,0.91,2,0
SKU-00125,1552,44.67,10.78,10,350,573,0.58,2,0
SKU-00126,107,6.18,2.15,5,41,56,1.47,2,1
SKU-00127,255,25.21,6.27,26,163,491,0.73,1,1
SKU-00128,320,6.85,4.1,15,37,88,0.99,0,0
SKU-00129,329,11.47,2.47,3,62,79,0.61,2,0
SKU-00130,211,7.5,4.17,25,26,120,1.15,1,1
SKU-00131,342,6.89,3.85,28,54,150,0.89,1,0
SKU-00132,254,9.92,3.08,20,33,132,1.27,1,1
SKU-00133,84,11.76,2.96,11,35,100,1.03,4,1
SKU-00134,43,9.38,2.73,26,30,152,0.63,0,1
SKU-00135,223,8.68,5.16,22,38,133,0.51,0,0
SKU-00136,165,4.49,1.84,9,31,51,0.71,1,0
SKU-00137,81,7.72,2.87,11,60,102,1.22,1,1
SKU-00138,792,23.17,2.73,29,138,474,1.33,0,1
SKU-00139,53,4.31,2.26,28,25,85,0.84,1,1
SKU-00140,102,10.14,1.44,20,71,172,1.04,1,1
SKU-00141,1198,18.63,2.3,3,134,162,0.74,0,0
SKU-00142,554,11.83,2.81,8,105,152,1.38,0,0
SKU-00143,462,15.87,5.36,11,139,226,1.47,1,1
SKU-00144,36,3.02,1.65,17,26,52,1.25,2,1
SKU-00145,755,10.15,5.02,26,90,222,0.59,0,0
SKU-00146,519,6.59,1.31,25,60,142,0.94,1,0
SKU-00147,129,6.81,1.95,9,47,78,1.49,2,1
SKU-00148,663,21.9,10.73,5,157,212,0.73,0,0
SKU-00149,341,6.9,2.51,9,56,87,1.17,2,0
SKU-00150,68,10.39,1.95,8,46,88,1.44,1,1
SKU-00151,46,1.36,0.41,27,8,26,1.27,2,1
SKU-00152,561,25.2,10.41,2,237,262,1.11,0,0
SKU-00153,249,15.25,8.95,25,102,293,1.01,2,1
SKU-00154,158,7.94,3.42,20,27,106,1.43,1,1
SKU-00155,119,6.36,0.69,4,37,50,0.89,0,0
SKU-00156,274,12.69,5.74,21,52,185,1.4,0,1
SKU-00157,281,18.48,4.17,18,102,268,0.93,2,1
SKU-00158,808,25.42,13.5,2,173,198,1.26,0,0
SKU-00159,826,14.9,4.35,8,97,157,1.42,1,0
SKU-00160,263,8.77,1.75,11,56,104,1.05,2,0
SKU-00161,252,16.49,5.51,8,52,118,0.81,2,1
SKU-00162,417,14.47,3.29,18,88,218,0.55,2,0
SKU-00163,226,8.8,1.92,19,28,112,1.31,0,1
SKU-00164,529,14.18,5.48,6,83,126,1.12,1,0
SKU-00165,81,14.0,6.77,5,105,140,0.76,2,1
SKU-00166,48,7.91,4.09,20,31,110,1.38,1,1
SKU-00167,281,5.42,1.62,15,51,92,1.42,0,0
SKU-00168,689,13.16,1.76,9,98,157,1.39,0,0
SKU-00169,24,3.35,1.15,9,15,30,1.1,1,1
SKU-00170,76,2.69,0.85,3,15,19,1.48,1,0
SKU-00171,238,10.51,2.09,25,39,170,1.37,0,1
SKU-00172,164,12.91,7.08,25,41,202,0.6,0,1
SKU-00173,633,10.46,6.14,17,98,187,1.48,2,0
SKU-00174,300,11.3,1.42,11,87,149,1.05,2,1
SKU-00175,632,12.76,6.35,8,108,159,1.42,0,0
SKU-00176,1135,21.95,9.28,10,161,271,1.26,2,0
SKU-00177,1225,15.08,3.48,27,141,345,1.15,1,0
SKU-00178,818,14.77,6.17,4,137,167,0.83,4,0
SKU-00179,122,9.93,1.63,25,34,158,0.53,1,1
SKU-00180,298,10.2,1.37,10,44,95,0.78,0,0
SKU-00181,323,7.42,4.43,9,43,76,1.19,0,0
SKU-00182,245,11.06,4.63,24,60,193,1.36,3,1
SKU-00183,79,3.2,0.73,28,21,66,0.5,0,0
SKU-00184,194,22.02,7.16,29,107,426,0.71,1,1
SKU-00185,225,4.07,2.34,9,35,53,1.17,1,0
SKU-00186,201,15.06,4.81,18,46,182,0.78,4,1
SKU-00187,282,20.19,11.11,10,172,273,0.64,0,1
SKU-00188,459,15.03,8.03,7,86,139,0.58,1,0
SKU-00189,936,34.2,9.31,12,104,309,1.14,1,1
SKU-00190,8,0.94,0.42,3,8,9,1.09,2,1
SKU-00191,176,5.71,2.46,6,35,52,1.36,2,0
SKU-00192,1370,19.97,9.7,18,161,341,0.81,2,0
SKU-00193,216,2.58,0.73,21,24,51,0.64,2,0
SKU-00194,51,4.19,0.53,9,14,33,1.3,1,1
SKU-00195,118,12.2,2.26,17,59,163,1.49,2,1
SKU-00196,139,8.69,3.55,23,33,133,0.86,2,1
SKU-00197,141,11.66,5.68,27,43,200,1.37,4,1
SKU-00198,414,9.26,4.43,17,89,168,1.26,0,0
SKU-00199,484,9.9,3.88,8,86,126,1.41,0,0
SKU-00200,183,4.56,0.65,21,25,73,0.92,1,0
SKU-00201,454,9.67,1.05,6,76,105,0.6,2,0
SKU-00202,469,6.04,2.97,5,57,72,0.62,1,0
SKU-00203,216,6.73,2.52,12,31,71,1.26,0,0
SKU-00204,231,14.92,7.33,11,46,128,1.36,1,1
SKU-00205,33,2.45,0.44,6,21,28,0.96,0,1
SKU-00206,37,0.52,0.16,3,4,5,0.56,3,0
SKU-00207,388,14.17,7.93,28,58,256,0.57,0,0
SKU-00208,212,9.68,1.8,20,62,159,1.1,0,1
SKU-00209,208,20.18,2.64,22,83,305,1.42,0,1
SKU-00210,195,4.29,1.83,3,31,37,0.9,1,0
SKU-00211,72,7.72,3.07,24,58,151,1.15,1,1
SKU-00212,324,8.94,5.15,12,44,98,1.04,1,0
SKU-00213,107,5.06,2.8,22,43,99,1.39,0,1
SKU-00214,139,3.81,1.81,15,24,53,1.33,0,1
SKU-00215,363,14.67,1.61,8,117,176,0.7,3,0
SKU-00216,82,2.22,0.76,9,17,27,1.18,2,0
SKU-00217,153,3.26,1.79,5,20,28,1.35,4,0
SKU-00218,115,7.52,2.38,25,38,132,1.43,0,1
SKU-00219,55,15.88,9.23,14,70,181,1.09,0,1
SKU-00220,52,5.34,2.28,23,44,105,0.68,0,1
SKU-00221,42,4.78,0.74,25,36,96,1.06,0,1
SKU-00222,163,7.17,2.54,6,36,58,1.17,1,0
SKU-00223,129,10.89,4.88,11,106,166,0.77,3,1
SKU-00224,224,6.31,0.84,5,55,71,1.47,0,0
SKU-00225,437,17.29,4.71,2,67,84,0.73,2,0
SKU-00226,598,17.8,8.16,29,74,332,1.41,1,1
SKU-00227,124,7.52,1.34,20,51,126,0.93,2,1
SKU-00228,843,28.34,7.77,14,105,303,0.5,1,0
SKU-00229,767,8.79,3.91,7,86,117,1.04,1,0
SKU-00230,762,17.39,8.48,18,130,287,1.13,3,0
SKU-00231,257,10.67,3.83,17,37,128,1.37,0,1
SKU-00232,299,10.53,6.09,8,64,106,1.04,1,0
SKU-00233,10,1.71,0.96,2,8,10,0.59,1,0
SKU-00234,173,3.0,1.01,15,19,41,1.43,2,0
SKU-00235,273,6.58,1.19,16,31,84,1.07,1,0
SKU-00236,509,17.71,8.62,24,156,369,0.77,0,0
SKU-00237,190,10.79,2.39,13,87,157,1.4,1,1
SKU-00238,67,6.63,3.46,4,62,75,0.62,0,0
SKU-00239,274,13.0,5.12,26,57,226,0.6,0,0
SKU-00240,828,17.26,5.13,13,98,210,1.04,2,0
SKU-00241,62,8.37,3.17,22,72,164,1.12,4,1
SKU-00242,319,9.86,3.61,3,55,70,1.01,0,0
SKU-00243,395,8.94,5.03,3,51,64,1.43,4,0
SKU-00244,298,7.97,1.65,2,79,87,0.76,1,0
SKU-00245,211,4.25,2.4,24,36,87,1.49,2,0
SKU-00246,158,3.96,0.46,8,36,52,0.52,2,0
SKU-00247,81,12.95,6.28,24,76,231,0.62,0,1
SKU-00248,598,17.49,9.79,28,124,369,0.69,0,0
SKU-00249,53,6.62,1.97,20,41,107,0.58,1,1
SKU-00250,259,6.5,0.89,29,40,134,0.94,1,0
